"","COUNTRY","YEAR","FUELTYPE","FABREQ_LOW","FABREQ_HIGH"
"87","Hungary","2018","PWR","38","38"
"88","Hungary","2020","PWR","41","41"
"89","Hungary","2025","PWR","64","64"
"90","Hungary","2030","PWR","87","87"
"91","Hungary","2035","PWR","66","66"
"92","Japan","2016","BWR","51","51"
"93","Japan","2016","FBR MOX","0","0"
"94","Japan","2016","PWR","0","0"
"95","Japan","2016","PWR+BWR MOX","0","0"
"96","Japan","2017","BWR","0","0"
"97","Japan","2017","FBR MOX","0","0"
"98","Japan","2017","PWR","90","90"
"99","Japan","2017","PWR+BWR MOX","0","0"
"100","Japan","2018","BWR","N/A","N/A"
"101","Japan","2018","FBR MOX","N/A","N/A"
"102","Japan","2018","PWR","N/A","N/A"
"103","Japan","2018","PWR+BWR MOX","N/A","N/A"
"104","Japan","2020","BWR","N/A","N/A"
"105","Japan","2020","FBR MOX","N/A","N/A"
"106","Japan","2020","PWR","N/A","N/A"
"107","Japan","2020","PWR+BWR MOX","N/A","N/A"
"108","Japan","2025","BWR","N/A","N/A"
"109","Japan","2025","FBR MOX","N/A","N/A"
"110","Japan","2025","PWR","N/A","N/A"
"111","Japan","2025","PWR+BWR MOX","N/A","N/A"
"112","Japan","2030","BWR","N/A","N/A"
"113","Japan","2030","FBR MOX","N/A","N/A"
"114","Japan","2030","PWR","N/A","N/A"
"115","Japan","2030","PWR+BWR MOX","N/A","N/A"
"116","Japan","2035","BWR","N/A","N/A"
"117","Japan","2035","FBR MOX","N/A","N/A"
"118","Japan","2035","PWR","N/A","N/A"
"119","Japan","2035","PWR+BWR MOX","N/A","N/A"
"120","Korea","2016","HWR","300","300"
"121","Korea","2016","PWR","500","500"
"122","Korea","2017","HWR","250","250"
"123","Korea","2017","PWR","450","450"
"124","Korea","2018","HWR","250","250"
"125","Korea","2018","PWR","300","300"
"126","Korea","2020","HWR","250","250"
"127","Korea","2020","PWR","700","700"
"128","Korea","2025","HWR","250","250"
"129","Korea","2025","PWR","700","700"
"130","Korea","2030","HWR","N/A","N/A"
"131","Korea","2030","PWR","600","600"
"132","Korea","2035","HWR","N/A","N/A"
"133","Korea","2035","PWR","N/A","N/A"
"134","Mexico","2016","BWR","0","0"
"135","Mexico","2017","BWR","51","51"
"136","Mexico","2018","BWR","28","28"
"137","Mexico","2020","BWR","52","52"
"138","Mexico","2025","BWR","26","26"
"139","Mexico","2030","BWR","26","26"
"140","Mexico","2035","BWR","50","50"
"141","Netherlands","2016","PWR","5.1","5.1"
"142","Netherlands","2016","PWR MOX","3.5","3.5"
"143","Netherlands","2017","PWR","10.3","10.3"
"144","Netherlands","2017","PWR MOX","3.5","3.5"
"145","Netherlands","2018","PWR","0","0"
"146","Netherlands","2018","PWR MOX","3.5","3.5"
"147","Netherlands","2020","PWR","6.4","6.4"
"148","Netherlands","2020","PWR MOX","3.5","3.5"
"149","Netherlands","2025","PWR","5","5"
"150","Netherlands","2025","PWR MOX","3.5","3.5"
"151","Netherlands","2030","PWR","9","9"
"152","Netherlands","2030","PWR MOX","0","0"
"153","Netherlands","2035","PWR","0","0"
"154","Netherlands","2035","PWR MOX","0","0"
"155","Romania","2016","HWR","230","230"
"156","Romania","2017","HWR","230","230"
"157","Romania","2018","HWR","230","230"
"158","Romania","2020","HWR","230","230"
"159","Romania","2025","HWR","230","230"
"160","Romania","2030","HWR","460","460"
"161","Romania","2035","HWR","460","460"
"162","Slovak Republic","2016","PWR","35","35"
"163","Slovak Republic","2017","PWR","37","37"
"164","Slovak Republic","2018","PWR","N/A","N/A"
"165","Slovak Republic","2020","PWR","N/A","N/A"
"166","Slovak Republic","2025","PWR","N/A","N/A"
"167","Slovak Republic","2030","PWR","N/A","N/A"
"168","Slovak Republic","2035","PWR","N/A","N/A"
"169","Slovenia","2016","PWR","15","15"
"170","Slovenia","2017","PWR","15","15"
"171","Slovenia","2018","PWR","15","15"
"172","Slovenia","2020","PWR","15","15"
"173","Slovenia","2025","PWR","15","15"
"174","Slovenia","2030","PWR","15","15"
"175","Slovenia","2035","PWR","15","15"
"176","Spain","2016","BWR","0","0"
"177","Spain","2016","PWR","131","131"
"178","Spain","2017","BWR","45","45"
"179","Spain","2017","PWR","105","105"
"180","Spain","2018","BWR","0","0"
"181","Spain","2018","PWR","102","102"
"182","Spain","2020","BWR","0","0"
"183","Spain","2020","PWR","108","108"
"184","Spain","2025","BWR","46","46"
"185","Spain","2025","PWR","136","136"
"186","Spain","2030","BWR","N/A","N/A"
"187","Spain","2030","PWR","N/A","N/A"
"188","Spain","2035","BWR","N/A","N/A"
"189","Spain","2035","PWR","N/A","N/A"
"190","Sweden","2016","BWR","122","122"
"191","Sweden","2016","PWR","80","80"
"192","Sweden","2017","BWR","128","128"
"193","Sweden","2017","PWR","80","80"
"194","Sweden","2018","BWR","128","128"
"195","Sweden","2018","PWR","80","80"
"196","Sweden","2020","BWR","128","128"
"197","Sweden","2020","PWR","60","60"
"198","Sweden","2025","BWR","108","108"
"199","Sweden","2025","PWR","60","60"
